Listing Name,Price,Room Type,Reviews,Location
Great Apt!  SPECIAL WINTER PRICE!,86,Entire home/apt,22 reviews,"Flatbush, Brooklyn"
"Spacious, Cool 1-BD in Brooklyn",54,Entire home/apt,1 review,"Crown Heights, Brooklyn"
Big 1 BR Apt in Williamsburg!,71,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Private Loft/Nest in Williamsburg,61,Private room,12 reviews,"Williamsburg, Brooklyn"
Private Loft/Nest in Williamsburg,61,Private room,12 reviews,"Williamsburg, Brooklyn"
"Charming, Airy 2 Bedroom Brownstone",99,Entire home/apt,18 reviews,"Bedford-Stuyvesant, Brooklyn"
Charming room in Williamsburg home,50,Private room,3 reviews,"Williamsburg, Brooklyn"
Williamsburg Penthouse For A Cause,90,Private room,122 reviews,"Williamsburg, Brooklyn"
Loft Studio with Private Bathroom,72,Private room,78 reviews,"Bedford-Stuyvesant, Brooklyn"
Location! 1b apt 10min to Manhattan,135,Entire home/apt,68 reviews,"Fort Greene, Brooklyn"
Park Slope Private Garden & Laundry,158,Entire home/apt,"Park Slope, Brooklyn",
The Wyckoff 2,77,Private room,3 reviews,"Bushwick, Brooklyn"
FAB BKLYN ROOM&BATH&OWN ENTRANCE,99,Private room,50 reviews,"Fort Greene, Brooklyn"
South Slope Private Basement Studio,68,Private room,13 reviews,"Park Slope, Brooklyn"
